,quotedate,expiration,strike,impliedvol,delta
9465,2020-01-03,2020-01-31,301.0,0.1964,-0.0912
9467,2020-01-03,2020-01-31,301.5,0.1949,-0.0948
9469,2020-01-03,2020-01-31,302.0,0.1934,-0.0985
9471,2020-01-03,2020-01-31,302.5,0.1918,-0.1022
9473,2020-01-03,2020-01-31,303.0,0.1901,-0.106
9475,2020-01-03,2020-01-31,303.5,0.1883,-0.1098
9477,2020-01-03,2020-01-31,304.0,0.1871,-0.1145
9479,2020-01-03,2020-01-31,304.5,0.1854,-0.1187
9481,2020-01-03,2020-01-31,305.0,0.1837,-0.1232
9483,2020-01-03,2020-01-31,305.5,0.1822,-0.1281
9485,2020-01-03,2020-01-31,306.0,0.1808,-0.1333
9487,2020-01-03,2020-01-31,306.5,0.1791,-0.1384
9489,2020-01-03,2020-01-31,307.0,0.1772,-0.1434
9491,2020-01-03,2020-01-31,307.5,0.1758,-0.1493
9493,2020-01-03,2020-01-31,308.0,0.1743,-0.1553
9495,2020-01-03,2020-01-31,308.5,0.1724,-0.1611
9497,2020-01-03,2020-01-31,309.0,0.1709,-0.1676
9499,2020-01-03,2020-01-31,309.5,0.1691,-0.174
9501,2020-01-03,2020-01-31,310.0,0.1676,-0.1811
9503,2020-01-03,2020-01-31,310.5,0.1655,-0.1876
9505,2020-01-03,2020-01-31,311.0,0.1638,-0.195
9507,2020-01-03,2020-01-31,311.5,0.1621,-0.2027
9509,2020-01-03,2020-01-31,312.0,0.1603,-0.2106
9511,2020-01-03,2020-01-31,312.5,0.1585,-0.2189
9513,2020-01-03,2020-01-31,313.0,0.1566,-0.2274
9515,2020-01-03,2020-01-31,313.5,0.1549,-0.2365
9517,2020-01-03,2020-01-31,314.0,0.153,-0.2458
9519,2020-01-03,2020-01-31,314.5,0.1511,-0.2554
9521,2020-01-03,2020-01-31,315.0,0.1493,-0.2656
9523,2020-01-03,2020-01-31,315.5,0.1474,-0.2761
9525,2020-01-03,2020-01-31,316.0,0.1454,-0.287
9527,2020-01-03,2020-01-31,316.5,0.1434,-0.2983
9529,2020-01-03,2020-01-31,317.0,0.1415,-0.3103
9531,2020-01-03,2020-01-31,317.5,0.1394,-0.3226
9533,2020-01-03,2020-01-31,318.0,0.1373,-0.3354
9535,2020-01-03,2020-01-31,318.5,0.1352,-0.3488
9537,2020-01-03,2020-01-31,319.0,0.1331,-0.3627
9539,2020-01-03,2020-01-31,319.5,0.1311,-0.3774
9541,2020-01-03,2020-01-31,320.0,0.1289,-0.3925
9543,2020-01-03,2020-01-31,320.5,0.1268,-0.4084
9545,2020-01-03,2020-01-31,321.0,0.1245,-0.4248
9547,2020-01-03,2020-01-31,321.5,0.1224,-0.4421
9549,2020-01-03,2020-01-31,322.0,0.1203,-0.46
9551,2020-01-03,2020-01-31,322.5,0.1178,-0.4785
9553,2020-01-03,2020-01-31,323.0,0.1155,-0.4979
9555,2020-01-03,2020-01-31,323.5,0.1134,-0.518
9557,2020-01-03,2020-01-31,324.0,0.1108,-0.539
9559,2020-01-03,2020-01-31,324.5,0.1084,-0.5607
9561,2020-01-03,2020-01-31,325.0,0.1062,-0.5829
9563,2020-01-03,2020-01-31,325.5,0.1038,-0.606
9565,2020-01-03,2020-01-31,326.0,0.1011,-0.6302
9567,2020-01-03,2020-01-31,326.5,0.0988,-0.6545
9569,2020-01-03,2020-01-31,327.0,0.0967,-0.6789
9571,2020-01-03,2020-01-31,327.5,0.0946,-0.7035
9573,2020-01-03,2020-01-31,328.0,0.0922,-0.7289
9575,2020-01-03,2020-01-31,328.5,0.0901,-0.7537
9577,2020-01-03,2020-01-31,329.0,0.0881,-0.7779
9579,2020-01-03,2020-01-31,329.5,0.0866,-0.8004
9581,2020-01-03,2020-01-31,330.0,0.085,-0.8224
9583,2020-01-03,2020-01-31,331.0,0.0825,-0.8615
9585,2020-01-03,2020-01-31,332.0,0.0816,-0.8915
9587,2020-01-03,2020-01-31,332.5,0.0815,-0.9038
9589,2020-01-03,2020-01-31,333.0,0.0821,-0.9132
9591,2020-01-03,2020-01-31,334.0,0.0853,-0.9247
9593,2020-01-03,2020-01-31,335.0,0.0915,-0.9275
9595,2020-01-03,2020-01-31,336.0,0.0967,-0.932
9597,2020-01-03,2020-01-31,337.0,0.102,-0.9355
9599,2020-01-03,2020-01-31,337.5,0.1051,-0.9363
9601,2020-01-03,2020-01-31,338.0,0.1079,-0.9375
9603,2020-01-03,2020-01-31,339.0,0.1135,-0.9396
9605,2020-01-03,2020-01-31,340.0,0.1189,-0.9418
9607,2020-01-03,2020-01-31,341.0,0.1243,-0.9438
9609,2020-01-03,2020-01-31,342.0,0.1301,-0.9449
9611,2020-01-03,2020-01-31,342.5,0.1328,-0.9456
9613,2020-01-03,2020-01-31,343.0,0.1354,-0.9465
9615,2020-01-03,2020-01-31,344.0,0.1407,-0.948
9617,2020-01-03,2020-01-31,345.0,0.146,-0.9492
9619,2020-01-03,2020-01-31,346.0,0.1512,-0.9505
9621,2020-01-03,2020-01-31,347.0,0.157,-0.951
9623,2020-01-03,2020-01-31,347.5,0.1589,-0.9523
9625,2020-01-03,2020-01-31,350.0,0.1716,-0.9548
9627,2020-01-03,2020-01-31,352.5,0.1841,-0.9569
9629,2020-01-03,2020-01-31,355.0,0.19699999999999998,-0.9583
9631,2020-01-03,2020-01-31,357.5,0.2091,-0.96
16877,2020-01-06,2020-02-03,270.0,0.2853,-0.0087
16879,2020-01-06,2020-02-03,275.0,0.2681,-0.0114
16881,2020-01-06,2020-02-03,280.0,0.2517,-0.0154
16883,2020-01-06,2020-02-03,285.0,0.2372,-0.0219
16885,2020-01-06,2020-02-03,290.0,0.222,-0.0313
16887,2020-01-06,2020-02-03,295.0,0.2076,-0.0458
16889,2020-01-06,2020-02-03,300.0,0.1933,-0.0682
16891,2020-01-06,2020-02-03,301.0,0.1906,-0.0741
16893,2020-01-06,2020-02-03,302.0,0.1875,-0.0801
16895,2020-01-06,2020-02-03,303.0,0.1848,-0.0871
16897,2020-01-06,2020-02-03,304.0,0.1817,-0.0942
16899,2020-01-06,2020-02-03,305.0,0.179,-0.1026
16901,2020-01-06,2020-02-03,306.0,0.1762,-0.1115
16903,2020-01-06,2020-02-03,307.0,0.17300000000000001,-0.1207
16905,2020-01-06,2020-02-03,308.0,0.17,-0.1311
16907,2020-01-06,2020-02-03,309.0,0.1665,-0.1417
16909,2020-01-06,2020-02-03,310.0,0.1634,-0.1539
16911,2020-01-06,2020-02-03,311.0,0.1601,-0.1669
16913,2020-01-06,2020-02-03,312.0,0.1568,-0.1811
16915,2020-01-06,2020-02-03,313.0,0.1535,-0.1966
16917,2020-01-06,2020-02-03,314.0,0.15,-0.2133
16919,2020-01-06,2020-02-03,315.0,0.1467,-0.2319
16921,2020-01-06,2020-02-03,316.0,0.1431,-0.2517
16923,2020-01-06,2020-02-03,317.0,0.1394,-0.2732
16925,2020-01-06,2020-02-03,318.0,0.1355,-0.2965
16927,2020-01-06,2020-02-03,319.0,0.1316,-0.322
16929,2020-01-06,2020-02-03,320.0,0.1277,-0.3499
16931,2020-01-06,2020-02-03,321.0,0.1235,-0.3801
16933,2020-01-06,2020-02-03,322.0,0.1193,-0.4132
16935,2020-01-06,2020-02-03,323.0,0.1151,-0.4491
16937,2020-01-06,2020-02-03,324.0,0.1107,-0.4882
16939,2020-01-06,2020-02-03,325.0,0.1062,-0.5304
16941,2020-01-06,2020-02-03,326.0,0.1017,-0.5759
16943,2020-01-06,2020-02-03,327.0,0.0975,-0.6238
16945,2020-01-06,2020-02-03,328.0,0.0935,-0.6735
16947,2020-01-06,2020-02-03,329.0,0.0899,-0.7232
16949,2020-01-06,2020-02-03,330.0,0.0866,-0.7715
16951,2020-01-06,2020-02-03,331.0,0.0844,-0.8145
16953,2020-01-06,2020-02-03,332.0,0.0831,-0.8512
16955,2020-01-06,2020-02-03,333.0,0.083,-0.88
16957,2020-01-06,2020-02-03,334.0,0.0851,-0.8987
16959,2020-01-06,2020-02-03,335.0,0.0891,-0.9096
16961,2020-01-06,2020-02-03,336.0,0.0951,-0.9142
16963,2020-01-06,2020-02-03,337.0,0.1011,-0.9179999999999999
16965,2020-01-06,2020-02-03,338.0,0.1069,-0.9216
16967,2020-01-06,2020-02-03,339.0,0.1127,-0.9246
16969,2020-01-06,2020-02-03,340.0,0.1184,-0.9274
16971,2020-01-06,2020-02-03,341.0,0.1241,-0.9299
16973,2020-01-06,2020-02-03,342.0,0.1297,-0.9322
16975,2020-01-06,2020-02-03,343.0,0.1352,-0.9343
16977,2020-01-06,2020-02-03,344.0,0.1407,-0.9362
16979,2020-01-06,2020-02-03,345.0,0.1461,-0.9381
16981,2020-01-06,2020-02-03,350.0,0.1726,-0.9452
16983,2020-01-06,2020-02-03,355.0,0.1982,-0.9503
24241,2020-01-07,2020-02-07,270.0,0.2757,-0.0106
24243,2020-01-07,2020-02-07,275.0,0.2634,-0.0151
24245,2020-01-07,2020-02-07,280.0,0.2495,-0.021
24247,2020-01-07,2020-02-07,282.5,0.2422,-0.0247
24249,2020-01-07,2020-02-07,285.0,0.2355,-0.0294
24251,2020-01-07,2020-02-07,287.5,0.22899999999999998,-0.0353
24253,2020-01-07,2020-02-07,290.0,0.2225,-0.0423
24255,2020-01-07,2020-02-07,292.5,0.2157,-0.0506
24257,2020-01-07,2020-02-07,295.0,0.2092,-0.061
24259,2020-01-07,2020-02-07,297.5,0.2021,-0.073
24261,2020-01-07,2020-02-07,300.0,0.1954,-0.08800000000000001
24263,2020-01-07,2020-02-07,301.0,0.1927,-0.0948
24265,2020-01-07,2020-02-07,302.0,0.1897,-0.1019
24267,2020-01-07,2020-02-07,302.5,0.1887,-0.1062
24269,2020-01-07,2020-02-07,303.0,0.187,-0.1099
24271,2020-01-07,2020-02-07,304.0,0.1846,-0.1189
24273,2020-01-07,2020-02-07,305.0,0.1817,-0.128
24275,2020-01-07,2020-02-07,306.0,0.179,-0.1381
24277,2020-01-07,2020-02-07,307.0,0.1759,-0.1485
24279,2020-01-07,2020-02-07,307.5,0.1744,-0.1541
24281,2020-01-07,2020-02-07,308.0,0.1731,-0.1602
24283,2020-01-07,2020-02-07,309.0,0.1702,-0.1727
24285,2020-01-07,2020-02-07,310.0,0.16699999999999998,-0.1858
24287,2020-01-07,2020-02-07,311.0,0.1638,-0.1999
24289,2020-01-07,2020-02-07,312.0,0.1608,-0.2155
24291,2020-01-07,2020-02-07,312.5,0.1591,-0.2235
24293,2020-01-07,2020-02-07,313.0,0.1577,-0.2322
24295,2020-01-07,2020-02-07,314.0,0.1544,-0.2499
24297,2020-01-07,2020-02-07,315.0,0.151,-0.26899999999999996
24299,2020-01-07,2020-02-07,316.0,0.1475,-0.2895
24301,2020-01-07,2020-02-07,317.0,0.14400000000000002,-0.3116
24303,2020-01-07,2020-02-07,317.5,0.1421,-0.3232
24305,2020-01-07,2020-02-07,318.0,0.1403,-0.3353
24307,2020-01-07,2020-02-07,319.0,0.1366,-0.3609
24309,2020-01-07,2020-02-07,320.0,0.1327,-0.3884
24311,2020-01-07,2020-02-07,321.0,0.1289,-0.4181
24313,2020-01-07,2020-02-07,322.0,0.125,-0.4499
24315,2020-01-07,2020-02-07,322.5,0.1231,-0.4667
24317,2020-01-07,2020-02-07,323.0,0.121,-0.4841
24319,2020-01-07,2020-02-07,324.0,0.1173,-0.5205
24321,2020-01-07,2020-02-07,325.0,0.1136,-0.5589
24323,2020-01-07,2020-02-07,326.0,0.1098,-0.5993
24325,2020-01-07,2020-02-07,327.0,0.1064,-0.6407
24327,2020-01-07,2020-02-07,327.5,0.105,-0.6613
24329,2020-01-07,2020-02-07,328.0,0.1036,-0.682
24331,2020-01-07,2020-02-07,329.0,0.1011,-0.7224
24333,2020-01-07,2020-02-07,330.0,0.0995,-0.7598
24335,2020-01-07,2020-02-07,331.0,0.0985,-0.7938
24337,2020-01-07,2020-02-07,332.0,0.099,-0.8215
24339,2020-01-07,2020-02-07,332.5,0.0997,-0.8332
24341,2020-01-07,2020-02-07,333.0,0.1009,-0.843
24343,2020-01-07,2020-02-07,334.0,0.1048,-0.8571
24345,2020-01-07,2020-02-07,335.0,0.1103,-0.8658
24347,2020-01-07,2020-02-07,336.0,0.1176,-0.8695
24349,2020-01-07,2020-02-07,337.0,0.1227,-0.8769
24351,2020-01-07,2020-02-07,337.5,0.1267,-0.8775
24353,2020-01-07,2020-02-07,338.0,0.1295,-0.8803
24355,2020-01-07,2020-02-07,339.0,0.1356,-0.8844
24357,2020-01-07,2020-02-07,340.0,0.1416,-0.8882
24359,2020-01-07,2020-02-07,341.0,0.1476,-0.8915
24361,2020-01-07,2020-02-07,342.0,0.1535,-0.8947
24363,2020-01-07,2020-02-07,342.5,0.1564,-0.8962
24365,2020-01-07,2020-02-07,343.0,0.1593,-0.8976
24367,2020-01-07,2020-02-07,344.0,0.165,-0.9004
24369,2020-01-07,2020-02-07,345.0,0.1706,-0.9031
24371,2020-01-07,2020-02-07,346.0,0.17600000000000002,-0.9057
24373,2020-01-07,2020-02-07,347.0,0.1815,-0.9079999999999999
24375,2020-01-07,2020-02-07,347.5,0.1843,-0.909
24377,2020-01-07,2020-02-07,350.0,0.1979,-0.9139
24379,2020-01-07,2020-02-07,352.5,0.2113,-0.9179999999999999
24381,2020-01-07,2020-02-07,355.0,0.22399999999999998,-0.922
24383,2020-01-07,2020-02-07,357.5,0.2369,-0.9251
31569,2020-01-08,2020-02-07,270.0,0.24,-0.003
31571,2020-01-08,2020-02-07,275.0,0.24,-0.0065
31573,2020-01-08,2020-02-07,280.0,0.24,-0.0133
31575,2020-01-08,2020-02-07,282.5,0.24,-0.0185
31577,2020-01-08,2020-02-07,285.0,0.24,-0.0252
31579,2020-01-08,2020-02-07,287.5,0.2331,-0.03
31581,2020-01-08,2020-02-07,290.0,0.225,-0.0351
31583,2020-01-08,2020-02-07,292.5,0.2186,-0.0425
31585,2020-01-08,2020-02-07,295.0,0.2106,-0.0501
31587,2020-01-08,2020-02-07,297.5,0.2042,-0.0609
31589,2020-01-08,2020-02-07,300.0,0.1963,-0.0726
31591,2020-01-08,2020-02-07,301.0,0.1936,-0.0784
31593,2020-01-08,2020-02-07,302.0,0.1908,-0.0846
31595,2020-01-08,2020-02-07,302.5,0.1889,-0.0874
31597,2020-01-08,2020-02-07,303.0,0.1876,-0.091
31599,2020-01-08,2020-02-07,304.0,0.1845,-0.0979
31601,2020-01-08,2020-02-07,305.0,0.1816,-0.1058
31603,2020-01-08,2020-02-07,306.0,0.1782,-0.1136
31605,2020-01-08,2020-02-07,307.0,0.175,-0.1224
31607,2020-01-08,2020-02-07,307.5,0.1736,-0.1274
31609,2020-01-08,2020-02-07,308.0,0.172,-0.1323
31611,2020-01-08,2020-02-07,309.0,0.1689,-0.1429
31613,2020-01-08,2020-02-07,310.0,0.1654,-0.1538
31615,2020-01-08,2020-02-07,311.0,0.1622,-0.1662
31617,2020-01-08,2020-02-07,312.0,0.1588,-0.1793
31619,2020-01-08,2020-02-07,312.5,0.1571,-0.1864
31621,2020-01-08,2020-02-07,313.0,0.1553,-0.1936
31623,2020-01-08,2020-02-07,314.0,0.152,-0.2094
31625,2020-01-08,2020-02-07,315.0,0.1483,-0.226
31627,2020-01-08,2020-02-07,316.0,0.1445,-0.244
31629,2020-01-08,2020-02-07,317.0,0.1407,-0.2637
31631,2020-01-08,2020-02-07,317.5,0.1387,-0.2741
31633,2020-01-08,2020-02-07,318.0,0.1369,-0.2853
31635,2020-01-08,2020-02-07,319.0,0.1328,-0.3085
31637,2020-01-08,2020-02-07,320.0,0.1287,-0.3339
31639,2020-01-08,2020-02-07,321.0,0.1246,-0.3618
31641,2020-01-08,2020-02-07,322.0,0.1205,-0.3922
31643,2020-01-08,2020-02-07,322.5,0.1183,-0.4084
31645,2020-01-08,2020-02-07,323.0,0.1162,-0.4253
31647,2020-01-08,2020-02-07,324.0,0.1119,-0.4614
31649,2020-01-08,2020-02-07,325.0,0.1076,-0.5006
31651,2020-01-08,2020-02-07,326.0,0.1035,-0.5428
31653,2020-01-08,2020-02-07,327.0,0.0992,-0.588
31655,2020-01-08,2020-02-07,327.5,0.0972,-0.6114
31657,2020-01-08,2020-02-07,328.0,0.0952,-0.6353
31659,2020-01-08,2020-02-07,329.0,0.0912,-0.6844
31661,2020-01-08,2020-02-07,330.0,0.0873,-0.7340000000000001
31663,2020-01-08,2020-02-07,331.0,0.0835,-0.7829999999999999
31665,2020-01-08,2020-02-07,332.0,0.0796,-0.8303
31667,2020-01-08,2020-02-07,332.5,0.0779,-0.8519
31669,2020-01-08,2020-02-07,333.0,0.0764,-0.8718
31671,2020-01-08,2020-02-07,334.0,0.0738,-0.9064
31673,2020-01-08,2020-02-07,335.0,0.0706,-0.9368
31675,2020-01-08,2020-02-07,336.0,0.0713,-0.9515
31677,2020-01-08,2020-02-07,337.0,0.0713,-0.9646
31679,2020-01-08,2020-02-07,337.5,0.0713,-0.9699
31681,2020-01-08,2020-02-07,338.0,0.0713,-0.9745
31683,2020-01-08,2020-02-07,339.0,0.0713,-0.982
31685,2020-01-08,2020-02-07,340.0,0.0713,-0.9874
31687,2020-01-08,2020-02-07,341.0,0.0713,-0.9914
31689,2020-01-08,2020-02-07,342.0,0.0713,-0.9942
31691,2020-01-08,2020-02-07,342.5,0.0713,-0.9952
31693,2020-01-08,2020-02-07,343.0,0.0713,-0.9961
31695,2020-01-08,2020-02-07,344.0,0.0713,-0.9974
31697,2020-01-08,2020-02-07,345.0,0.0713,-0.9982
31699,2020-01-08,2020-02-07,346.0,0.0713,-0.9988
31701,2020-01-08,2020-02-07,347.0,0.0713,-0.9992
31703,2020-01-08,2020-02-07,347.5,0.0713,-0.9993
31705,2020-01-08,2020-02-07,350.0,0.0713,-0.9996
31707,2020-01-08,2020-02-07,352.5,0.0713,-0.9997
31709,2020-01-08,2020-02-07,355.0,0.0713,-0.9997
31711,2020-01-08,2020-02-07,357.5,0.0713,-0.9997
38807,2020-01-09,2020-02-07,270.0,0.2268,-0.0011
38809,2020-01-09,2020-02-07,275.0,0.2268,-0.0028
38811,2020-01-09,2020-02-07,280.0,0.2268,-0.0064
38813,2020-01-09,2020-02-07,282.5,0.2268,-0.0095
38815,2020-01-09,2020-02-07,285.0,0.2268,-0.0137
38817,2020-01-09,2020-02-07,287.5,0.2268,-0.0193
38819,2020-01-09,2020-02-07,290.0,0.2268,-0.0267
38821,2020-01-09,2020-02-07,292.5,0.2181,-0.0311
38823,2020-01-09,2020-02-07,295.0,0.2112,-0.0376
38825,2020-01-09,2020-02-07,297.5,0.203,-0.0446
38827,2020-01-09,2020-02-07,300.0,0.1957,-0.054000000000000006
38829,2020-01-09,2020-02-07,301.0,0.1935,-0.059000000000000004
38831,2020-01-09,2020-02-07,302.0,0.19,-0.0632
38833,2020-01-09,2020-02-07,302.5,0.1887,-0.0659
38835,2020-01-09,2020-02-07,303.0,0.1868,-0.0681
38837,2020-01-09,2020-02-07,304.0,0.1841,-0.0739
38839,2020-01-09,2020-02-07,305.0,0.1807,-0.0796
38841,2020-01-09,2020-02-07,306.0,0.1778,-0.0863
38843,2020-01-09,2020-02-07,307.0,0.1746,-0.0932
38845,2020-01-09,2020-02-07,307.5,0.1729,-0.0968
38847,2020-01-09,2020-02-07,308.0,0.1714,-0.1008
38849,2020-01-09,2020-02-07,309.0,0.1681,-0.109
38851,2020-01-09,2020-02-07,310.0,0.1649,-0.1181
38853,2020-01-09,2020-02-07,311.0,0.1615,-0.1278
38855,2020-01-09,2020-02-07,312.0,0.158,-0.1383
38857,2020-01-09,2020-02-07,312.5,0.1565,-0.1443
38859,2020-01-09,2020-02-07,313.0,0.1547,-0.1501
38861,2020-01-09,2020-02-07,314.0,0.1512,-0.1627
38863,2020-01-09,2020-02-07,315.0,0.1477,-0.1766
38865,2020-01-09,2020-02-07,316.0,0.1444,-0.1922
38867,2020-01-09,2020-02-07,317.0,0.1404,-0.2082
38869,2020-01-09,2020-02-07,317.5,0.1388,-0.2174
38871,2020-01-09,2020-02-07,318.0,0.1369,-0.2266
38873,2020-01-09,2020-02-07,319.0,0.1331,-0.2464
38875,2020-01-09,2020-02-07,320.0,0.1294,-0.2685
38877,2020-01-09,2020-02-07,321.0,0.1252,-0.292
38879,2020-01-09,2020-02-07,322.0,0.1214,-0.3186
38881,2020-01-09,2020-02-07,322.5,0.1195,-0.3329
38883,2020-01-09,2020-02-07,323.0,0.1175,-0.3477
38885,2020-01-09,2020-02-07,324.0,0.1135,-0.3796
38887,2020-01-09,2020-02-07,325.0,0.1094,-0.4146
38889,2020-01-09,2020-02-07,326.0,0.1054,-0.45299999999999996
38891,2020-01-09,2020-02-07,327.0,0.1015,-0.4947
38893,2020-01-09,2020-02-07,327.5,0.0995,-0.5168
38895,2020-01-09,2020-02-07,328.0,0.0976,-0.5397
38897,2020-01-09,2020-02-07,329.0,0.0941,-0.5872
38899,2020-01-09,2020-02-07,330.0,0.0908,-0.6366
38901,2020-01-09,2020-02-07,331.0,0.0877,-0.6866
38903,2020-01-09,2020-02-07,332.0,0.085,-0.7356
38905,2020-01-09,2020-02-07,332.5,0.0839,-0.7589
38907,2020-01-09,2020-02-07,333.0,0.0829,-0.7813
38909,2020-01-09,2020-02-07,334.0,0.0806,-0.8245
38911,2020-01-09,2020-02-07,335.0,0.08,-0.8585
38913,2020-01-09,2020-02-07,336.0,0.0805,-0.8849
38915,2020-01-09,2020-02-07,337.0,0.0838,-0.8995
38917,2020-01-09,2020-02-07,337.5,0.084,-0.9097
38919,2020-01-09,2020-02-07,338.0,0.0862,-0.914
38921,2020-01-09,2020-02-07,339.0,0.0912,-0.92
38923,2020-01-09,2020-02-07,340.0,0.0965,-0.9245
38925,2020-01-09,2020-02-07,341.0,0.1027,-0.9265
38927,2020-01-09,2020-02-07,342.0,0.1082,-0.9295
38929,2020-01-09,2020-02-07,342.5,0.1104,-0.9318
38931,2020-01-09,2020-02-07,343.0,0.1137,-0.9321
38933,2020-01-09,2020-02-07,344.0,0.1191,-0.9345
38935,2020-01-09,2020-02-07,345.0,0.1239,-0.9375
38937,2020-01-09,2020-02-07,346.0,0.1294,-0.9391
38939,2020-01-09,2020-02-07,347.0,0.1347,-0.9408
38941,2020-01-09,2020-02-07,347.5,0.1371,-0.9420000000000001
38943,2020-01-09,2020-02-07,348.0,0.1371,-0.9462
38945,2020-01-09,2020-02-07,350.0,0.1371,-0.9607
38947,2020-01-09,2020-02-07,352.5,0.1371,-0.9740000000000001
38949,2020-01-09,2020-02-07,355.0,0.1371,-0.9833
38951,2020-01-09,2020-02-07,357.5,0.1371,-0.9895
38953,2020-01-09,2020-02-07,360.0,0.1371,-0.9935
38955,2020-01-09,2020-02-07,362.5,0.1371,-0.9961
46293,2020-01-10,2020-02-07,270.0,0.2822,-0.0066
46295,2020-01-10,2020-02-07,275.0,0.263,-0.0082
46297,2020-01-10,2020-02-07,280.0,0.2503,-0.012
46299,2020-01-10,2020-02-07,282.5,0.2439,-0.0146
46301,2020-01-10,2020-02-07,285.0,0.2364,-0.0174
46303,2020-01-10,2020-02-07,287.5,0.2279,-0.0203
46305,2020-01-10,2020-02-07,290.0,0.2207,-0.0245
46307,2020-01-10,2020-02-07,292.5,0.214,-0.0299
46309,2020-01-10,2020-02-07,295.0,0.2073,-0.0366
46311,2020-01-10,2020-02-07,296.0,0.2042,-0.0395
46313,2020-01-10,2020-02-07,297.0,0.2009,-0.0424
46315,2020-01-10,2020-02-07,297.5,0.1991,-0.0438
46317,2020-01-10,2020-02-07,298.0,0.1985,-0.0463
46319,2020-01-10,2020-02-07,299.0,0.1959,-0.0504
46321,2020-01-10,2020-02-07,300.0,0.1929,-0.0545
46323,2020-01-10,2020-02-07,301.0,0.1896,-0.0588
46325,2020-01-10,2020-02-07,302.0,0.1871,-0.0642
46327,2020-01-10,2020-02-07,302.5,0.1856,-0.0668
46329,2020-01-10,2020-02-07,303.0,0.1842,-0.0697
46331,2020-01-10,2020-02-07,304.0,0.1809,-0.0753
46333,2020-01-10,2020-02-07,305.0,0.1782,-0.08199999999999999
46335,2020-01-10,2020-02-07,306.0,0.1751,-0.08900000000000001
46337,2020-01-10,2020-02-07,307.0,0.1723,-0.09699999999999999
46339,2020-01-10,2020-02-07,307.5,0.1708,-0.1012
46341,2020-01-10,2020-02-07,308.0,0.1692,-0.1054
46343,2020-01-10,2020-02-07,309.0,0.166,-0.1144
46345,2020-01-10,2020-02-07,310.0,0.163,-0.1246
46347,2020-01-10,2020-02-07,311.0,0.1601,-0.1359
46349,2020-01-10,2020-02-07,312.0,0.1566,-0.1474
46351,2020-01-10,2020-02-07,312.5,0.1551,-0.154
